growth_form,variable,mean_Exclosure,mean_Open,sd_Exclosure,sd_Open,n_Exclosure,n_Open
fern,Pteridium esculentum,5.75,9.54166666666667,4.23379262600331,3.89684701607167,6,6
fern,Calochlaena dubia,3.83333333333333,0,9.38971068066885,0,6,6
forb,Desmodium rhytidophyllus,0.0833333333333333,0,0.204124145231932,0,6,6
forb,Dampiera purpurea,0.0625,0.25,0.153093108923949,0.612372435695795,6,6
forb,Lomandra glauca,0.0625,0.354166666666667,0.104582503316759,0.867527617235709,6,6
forb,Patersonia sericea,0,0.0833333333333333,0,0.204124145231932,6,6
forb,Billardiera scandens,0.0208333333333333,0,0.0510310363079829,0,6,6
forb,Dianella caerulea,0.0208333333333333,0,0.0510310363079829,0,6,6
graminoid,Imperata cylindrica,0.1875,0.0625,0.246855220726644,0.104582503316759,6,6
graminoid,Lepidosperma concavum,2.08333333333333,2.89583333333333,1.79872640128138,1.45863092201786,6,6
graminoid,Lomandra longifolia,5.1875,4.33333333333333,4.62246552177515,3.17673836925024,6,6
graminoid,Themeda australis,0.4375,0.0208333333333333,0.835725732522339,0.0510310363079829,6,6
vine,Glycine clandestina,0.1875,0,0.313747509950278,0,6,6
vine,Hardenbergia violaceae,0.0416666666666667,0,0.102062072615966,0,6,6
vine,Smilax glyciphylla,0.1875,0,0.189571886101289,0,6,6
vine,Hibbertia scandens,0.229166666666667,0.333333333333333,0.374304911357928,0.701189465598754,6,6
vine,Marsdenia rostrata,0.166666666666667,0,0.408248290463863,0,6,6
vine,Cissus hypoglauca,0.375,0,0.918558653543692,0,6,6
vine,Eustrephus latifolius,0.0208333333333333,0,0.0510310363079829,0,6,6
woody,Acacia longifolia,2.72916666666667,0.270833333333333,4.07999438316607,0.421431093616343,6,6
woody,Gonocarpus teucrioides,2.60416666666667,0.145833333333333,4.39205010976271,0.35721725415588,6,6
woody,Acacia terminalis,1.33333333333333,0,2.11935524786824,0,6,6
woody,Elaeocarpus reticulatus,0.875,0,1.45559266280096,0,6,6
woody,Hibbertia linearis,0.354166666666667,0,0.807839196045022,0,6,6
woody,Ricinocarpus pinifolius,0.5,0,0.908295106229247,0,6,6
woody,Banksia serrata,0.208333333333333,0,0.510310363079829,0,6,6
woody,Bossiaea ensata,0.104166666666667,0,0.255155181539914,0,6,6
woody,Bossiaea heterophylla,0.208333333333333,0,0.510310363079829,0,6,6
woody,Caustis Flexuosa,0.229166666666667,0,0.561341399387812,0,6,6
woody,Acacia ulicifolia,0.145833333333333,0,0.300173560905465,0,6,6
woody,Synoum glandulosum,2.54166666666667,0.583333333333333,3.50505587211769,1.42886901662352,6,6
woody,Corymbia gummifera,0.0833333333333333,0.0416666666666667,0.204124145231932,0.102062072615966,6,6
woody,Livistona australis,1.0625,0,2.60258285170713,0,6,6
woody,Syncarpia glomulifera,0.208333333333333,0.0208333333333333,0.510310363079829,0.0510310363079829,6,6
woody,Zieria smithii,0.0833333333333333,1.16666666666667,0.204124145231932,2.85773803324704,6,6
woody,Persoonia linearis,0.0208333333333333,0,0.0510310363079829,0,6,6
woody,Leucopogon lanceolatus,0.0833333333333333,0.0208333333333333,0.151382517704875,0.0510310363079829,6,6
woody,Pultenaea palacea,0.0416666666666667,0,0.102062072615966,0,6,6
woody,Xanthosia pilosa,0.0416666666666667,0,0.102062072615966,0,6,6
